name,slug,value,date_of_information,ranking,region
"Kiribati","kiribati","12.40","2019","1","Australia - Oceania"
"Greenland","greenland","10.60","2018","2","North America"
"Solomon Islands","solomon-islands","10.10","2015","3","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","9.70","2018","4","Australia - Oceania"
"Marshall Islands","marshall-islands","9.60","2019","5","Australia - Oceania"
"Namibia","namibia","9.40","2020","6","Africa"
"Sierra Leone","sierra-leone","9.30","2020","7","Africa"
"Montserrat","montserrat","9.10","2019","8","Central America"
"Faroe Islands","faroe-islands","8.20","2017","9","Europe"
"Tonga","tonga","8.00","2019","10","Australia - Oceania"
"Belize","belize","7.90","2020","11","Central America"
"Denmark","denmark","7.80","2017","12","Europe"
"Iceland","iceland","7.60","2018","13","Europe"
"Norway","norway","7.60","2018","14","Europe"
"Sweden","sweden","7.60","2018","15","Europe"
"Lesotho","lesotho","7.40","2020","16","Africa"
"Bolivia","bolivia","7.30","2014","17","South America"
"Tunisia","tunisia","7.30","2016","18","Africa"
"Suriname","suriname","7.20","2019","19","South America"
"Bhutan","bhutan","6.90","2018","20","South Asia"
"Botswana","botswana","6.90","2019","21","Africa"
"South Africa","south-africa","6.80","2020","22","Africa"
"Timor-Leste","timor-leste","6.80","2018","23","East Asia/Southeast Asia"
"Costa Rica","costa-rica","6.70","2020","24","Central America"
"Kuwait","kuwait","6.60","2020","25","Middle East"
"Belgium","belgium","6.40","2018","26","Europe"
"Finland","finland","6.30","2018","27","Europe"
"Israel","israel","6.20","2018","28","Middle East"
"Mozambique","mozambique","6.20","2019","29","Africa"
"Algeria","algeria","6.10","2019","30","Africa"
"Brazil","brazil","6.10","2018","31","South America"
"Moldova","moldova","6.10","2019","32","Europe"
"Puerto Rico","puerto-rico","6.10","2014","33","Central America"
"New Zealand","new-zealand","6.00","2018","34","Australia - Oceania"
"Sao Tome and Principe","sao-tome-and-principe","5.90","2019","35","Africa"
"Burkina Faso","burkina-faso","5.80","2019","36","Africa"
"Cyprus","cyprus","5.80","2017","37","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","5.70","2018","38","Central America"
"Tajikistan","tajikistan","5.70","2019","39","Central Asia"
"Aruba","aruba","5.50","2016","40","Central America"
"Chile","chile","5.40","2018","41","South America"
"France","france","5.40","2018","42","Europe"
"Jamaica","jamaica","5.40","2020","43","Central America"
"Kyrgyzstan","kyrgyzstan","5.40","2019","44","Central Asia"
"Netherlands","netherlands","5.40","2018","45","Europe"
"Oman","oman","5.40","2019","46","Middle East"
"Ukraine","ukraine","5.40","2019","47","Europe"
"Canada","canada","5.30","2011","48","North America"
"Eswatini","eswatini","5.30","2020","49","Africa"
"Gaza Strip","gaza-strip","5.30","2018","50","Middle East"
"Senegal","senegal","5.30","2019","51","Africa"
"West Bank","west-bank","5.30","2018","52","Middle East"
"Austria","austria","5.20","2018","53","Europe"
"Estonia","estonia","5.20","2018","54","Europe"
"United Kingdom","united-kingdom","5.20","2018","55","Europe"
"Australia","australia","5.10","2018","56","Australia - Oceania"
"Burundi","burundi","5.10","2018","57","Africa"
"Ethiopia","ethiopia","5.10","2018","58","Africa"
"Fiji","fiji","5.10","2019","59","Australia - Oceania"
"Kenya","kenya","5.10","2020","60","Africa"
"Uzbekistan","uzbekistan","5.10","2020","61","Central Asia"
"Belarus","belarus","5.00","2020","62","Europe"
"Dominica","dominica","5.00","2020","63","Central America"
"Germany","germany","5.00","2018","64","Europe"
"Togo","togo","5.00","2019","65","Africa"
"United States","united-states","5.00","2014","66","North America"
"Curacao","curacao","4.90","2013","67","Central America"
"Honduras","honduras","4.90","2019","68","Central America"
"Mongolia","mongolia","4.90","2019","69","East Asia/Southeast Asia"
"Slovenia","slovenia","4.90","2018","70","Europe"
"Switzerland","switzerland","4.90","2018","71","Europe"
"Argentina","argentina","4.80","2019","72","South America"
"Samoa","samoa","4.80","2020","73","Australia - Oceania"
"Cabo Verde","cabo-verde","4.70","2019","74","Africa"
"Malta","malta","4.70","2017","75","Europe"
"Portugal","portugal","4.70","2018","76","Europe"
"Russia","russia","4.70","2018","77","Central Asia"
"Uruguay","uruguay","4.70","2019","78","South America"
"Hungary","hungary","4.60","2018","79","Europe"
"Mauritius","mauritius","4.60","2020","80","Africa"
"Poland","poland","4.60","2018","81","Europe"
"Colombia","colombia","4.50","2019","82","South America"
"Guyana","guyana","4.50","2018","83","South America"
"Korea, South","korea-south","4.50","2018","84","East Asia/Southeast Asia"
"Zambia","zambia","4.50","2019","85","Africa"
"Brunei","brunei","4.40","2016","86","East Asia/Southeast Asia"
"Hong Kong","hong-kong","4.40","2020","87","East Asia/Southeast Asia"
"Nepal","nepal","4.40","2018","88","South Asia"
"Barbados","barbados","4.30","2020","89","Central America"
"Czechia","czechia","4.30","2018","90","Europe"
"Italy","italy","4.30","2018","91","Europe"
"Mexico","mexico","4.30","2018","92","North America"
"Turkey","turkey","4.30","2018","93","Middle East"
"Latvia","latvia","4.20","2018","94","Europe"
"Malaysia","malaysia","4.20","2019","95","East Asia/Southeast Asia"
"Peru","peru","4.20","2020","96","South America"
"Spain","spain","4.20","2018","97","Europe"
"Bulgaria","bulgaria","4.10","2017","98","Europe"
"Ecuador","ecuador","4.10","2020","99","South America"
"Maldives","maldives","4.10","2019","100","South Asia"
"Vietnam","vietnam","4.10","2019","101","East Asia/Southeast Asia"
"Dominican Republic","dominican-republic","4.00","2019","102","Central America"
"Ghana","ghana","4.00","2018","103","Africa"
"Slovakia","slovakia","4.00","2018","104","Europe"
"Albania","albania","3.90","2019","105","Europe"
"Congo, Republic of the","congo-republic-of-the","3.90","2019","106","Africa"
"Croatia","croatia","3.90","2017","107","Europe"
"Egypt","egypt","3.90","2015","108","Africa"
"Lithuania","lithuania","3.90","2018","109","Europe"
"Seychelles","seychelles","3.90","2019","110","Africa"
"Georgia","georgia","3.80","2020","111","Middle East"
"Cote d'Ivoire","cote-divoire","3.70","2019","112","Africa"
"Iran","iran","3.70","2019","113","Middle East"
"Luxembourg","luxembourg","3.70","2018","114","Europe"
"Anguilla","anguilla","3.60","2018","115","Central America"
"Djibouti","djibouti","3.60","2018","116","Africa"
"Greece","greece","3.60","2018","117","Europe"
"Grenada","grenada","3.60","2018","118","Central America"
"Saint Lucia","saint-lucia","3.60","2020","119","Central America"
"Serbia","serbia","3.60","2019","120","Europe"
"Trinidad and Tobago","trinidad-and-tobago","3.60","2019","121","Central America"
"Zimbabwe","zimbabwe","3.60","2018","122","Africa"
"China","china","3.50","2018","123","East Asia/Southeast Asia"
"Cook Islands","cook-islands","3.50","2019","124","Australia - Oceania"
"India","india","3.50","2016","125","South Asia"
"Niger","niger","3.50","2019","126","Africa"
"Paraguay","paraguay","3.50","2019","127","South America"
